K116-closest,K116-distance
82,8181.2630848389235
82,6897.719878701279
82,6616.993410499091
82,6362.023523043405
82,6257.764010163442
82,5985.922243565586
82,18218.363006461
82,7740.061625494958
82,6583.315876048237
82,6503.3858561755615
82,6213.977196282192
82,6182.284282825616
82,4993.368238178944
82,4853.47872021285
82,4835.541068189442
82,6447.977779071727
82,5620.721853530261
82,6054.35482412175
82,4671.761758516147
82,4600.941559882519
82,5351.362607713421
82,5215.1554445749625
82,4371.239201281232
82,4907.923691053119
82,4907.923708367161
82,5184.741935253752
82,4622.129715436218
82,4613.124204932486
82,4487.4471803254655
82,4381.495786877232
82,8365.713636487437
82,6160.28286512358
82,5746.220655195878
82,5250.264634450552
82,5139.220103127914
82,4736.83596031424
82,18218.362977161083
82,10041.509396648118
82,15871.757836138418
82,5692.482212977012
82,5617.245956138585
82,5500.16732142449
82,5199.557280727468
82,4870.280199286109
82,21181.668869901154
82,4603.780221704713
82,28489.931973326427
82,5329.4856153401015
82,4611.2917078097635
82,4575.890832906082
82,5723.106920889995
82,5154.2723494219845
82,5132.2581437987565
82,4745.742337733988
82,4609.4004236190385
82,4608.6228436024985
82,4644.544770717483
82,4672.129686504273
82,6085.863912862061
82,5460.4410436322105
82,4273.144333464791
82,6243.884311792164
82,5448.474153866658
82,33470.07996966339
82,23653.399741173325
82,5026.530183731536
82,4445.253281468282
82,9240.197377833101
82,6234.231173264324
82,5889.777849633441
82,4544.949254675326
82,4390.3044628350335
82,4394.29494775536
82,6138.248963279028
82,4533.423772490173
82,4395.092770253819
82,4750.6187842284335
82,4873.258873353356
82,5521.759249292181
82,5387.291667338454
82,4908.266275703903
82,4392.689625363257
82,4391.145351091192
82,18218.363255623968
82,7083.884381771876
82,14225.839566592269
82,4435.154295458561
82,4403.412605166145
82,18233.677346783898
82,5982.836057497941
82,5622.587860955769
82,4403.498027214186
82,7516.754004773474
82,6955.0544943786645
82,4758.253759391731
82,4648.221356972857
82,5206.8055613208035
82,4367.737010655931
82,4672.344691430027
82,4864.418706280569
82,7150.345025590634
82,14457.281982070559
82,4939.616061621302
82,4909.193784565429
82,4886.747495798463
82,4880.061708144947
82,5032.37135391238
82,4995.753327952086
82,4890.898594426977
82,4881.30367913704
82,4872.644019787986
82,8208.155049951276
82,5983.610783532476
82,4786.4932814971835
82,14325.948726391493
82,4832.234289930608
82,12902.83215676066
82,6378.457404624116
82,5205.9279782423055
82,4496.427371115331
82,22878.32495372696
82,4942.730213182752
82,4748.859249633375
82,4322.651834385063
82,4439.441219674807
82,4721.742148306077
82,4814.405527399195
82,12899.688544224826
82,4965.946874489633
82,4838.0345060489035
82,4785.499510529417
82,4389.665284658656
82,5000.296641795713
82,4996.962134532187
82,4947.616343254784
82,4977.695239317823
82,4800.844633618413
82,9239.054460354824
82,4835.840128818764
82,4805.861920793112
82,4856.810360086904
82,18223.46668155572
82,6449.7117201024585
82,5594.651191669125
82,5168.259006614703
82,4841.061620761324
82,4429.864234906229
82,4574.622489595152
82,8433.901283771085
82,5656.800248842836
82,4488.761866809344
82,4480.973153310326
82,4394.6462814403785
82,4835.247508507404
82,4857.264660503432
82,4474.696021838611
82,4444.50285832604
82,4329.060441457205
82,6613.650229296191
82,6560.968670116517
82,5387.509996996285
82,5287.518318712209
82,4330.0849076304585
82,4640.304974211634
82,4683.796521840981
82,4860.315773815807
82,22369.19185879241
82,4302.588338717638
82,4571.234571747281
82,4859.932997779246
82,5550.860417718301
82,5046.522104263512
82,5018.618922030185
82,4408.993705673895
82,4476.236646066787
82,23650.61686941269
82,23471.96221399046
82,5099.118601487489
82,22571.220228338185
82,4329.193824668422
82,13664.918413622334
82,22517.315554346842
82,5061.012147381267
82,4813.828739522607
82,4729.324728339062
82,4511.608588596881
82,4484.679208903657
82,4621.1869452511355
82,4958.759352440415
82,22404.83468064925
82,4510.031519005198
82,22511.145385747943
82,5328.7035907049685
82,5324.146998537944
82,5287.13639637224
82,5283.552266610146
82,5248.995196156396
82,5245.193765251785
82,5242.940367614715
82,5211.80062775375
82,5209.338605165516
82,5181.738886513812
82,5179.813209515794
82,5177.967489106447
82,5154.183050564149
82,5153.149332623254
82,5137.387162810879
82,5131.481799192943
82,5131.359562984417
82,5114.636270880766
82,5114.5211848583795
82,5114.487525850454
82,5102.297367399895
82,5102.535354966425
82,5093.872942974762
82,5094.960190473041
82,5096.128924493639
82,5090.900830315812
82,5092.9290705526455
82,5091.549743963097
82,5093.839597104076
82,5095.903639898982
82,5102.514712155206
82,5105.8712205051315
82,5113.486248400065
82,5116.901035109764
82,5120.080164324623
82,5129.91634076229
82,5133.456630774416
82,5137.398899091704
82,5148.819743213326
82,5152.796245224284
82,5165.502616767949
82,5169.498224168955
82,5173.904138466143
82,5187.815082321133
82,5192.9084285519175
82,5208.4157845752225
82,5213.515696782824
82,5218.689755231595
82,5241.570496421285
82,5259.814267764555
82,5265.663921661743
82,5271.22949450215
82,5290.9352650821365
