K116-closest,K116-distance
115,25535.425391761473
115,25545.577631071206
115,25655.18347719962
115,12694.158406531562
115,6043.990764544987
115,10701.669255870871
115,12136.102509511109
115,11697.516947597029
115,11642.764372373811
115,11551.682179402707
115,11146.297314210007
115,10681.235295775192
115,10495.404811919587
115,10040.241909850356
115,9968.424660276238
115,9901.249783409643
115,9728.50786454627
115,9541.325096506425
115,9581.776438507553
115,9554.388802823829
115,9774.94821285763
115,10159.233655359774
115,10468.864588270457
115,10879.297627345695
115,10991.140787244167
115,11286.795565108065
115,10800.401442408223
115,10032.348045942615
115,10043.555422902453
115,9819.76491276261
115,9630.21644020438
115,9345.7917434574
115,9347.228886322024
115,9415.205496091221
115,9519.498573795205
115,9751.254464649192
115,9846.875912679612
115,10309.428953892337
115,10682.955675899395
115,10891.373332743498
115,10980.916598349302
115,11114.287293365924
115,10399.801874536832
115,9946.83130970032
115,9911.965113216933
115,9922.846284587631
115,1779.142708502087
115,1721.928601853701
115,796.8933604225414
115,781.1540066965292
115,783.4815057287393
115,774.6952839384613
115,787.7719621930023
115,806.0070207242438
115,913.1549553826288
115,917.7198017110679
115,910.1819821218128
115,946.3613891465956
115,847.7095544304865
115,831.0649213791445
115,913.8996048365898
115,946.8177295997486
115,947.2323988605826
115,975.157378211042
115,1009.3707351135608
115,1000.3392062179663
115,1033.025785086026
115,953.5277896216246
115,955.1460584027832
115,964.7029647849324
115,977.1091113438138
115,841.711892861466
115,861.8103575330791
115,872.7660718696621
115,885.4552587280118
115,882.900192753476
115,806.0070207242438
115,1085.055038725414
115,1076.6293161425504
115,1108.178315207975
115,898.3210385019144
115,897.3087650743316
115,887.0358053326503
115,896.1367198129906
115,934.5583453063464
115,928.0697517648081
115,903.7656422235988
115,886.11810226762
115,873.2223671486888
115,1171.7446594909732
115,1201.553114689892
115,5093.413308185976
115,5092.304127051693
115,5109.540650677302
115,815.0473756668947
115,812.890652845237
115,802.1216966445503
115,789.2452256507019
115,775.6091195380777
115,779.0912121676167
115,810.1389820189502
115,778.7004869989702
115,849.945411297097
115,845.3881116965213
115,809.9098825700917
115,836.0363553112145
115,794.2009419692956
115,825.0002498352679
115,865.9841271274338
115,888.6206813328174
115,916.2943633808796
115,926.9836509232567
115,823.721064789269
115,820.945551517901
115,809.9098825700917
115,836.0363553112145
115,784.8543826490094
115,772.2384014338048
115,759.0947210865285
115,764.0327034833224
115,772.0081106577394
115,854.9708142458452
115,845.8963302793126
115,849.5757451606911
115,823.8165869377225
115,807.1754223270497
115,821.1505848792409
115,861.4881394820644
115,869.5893017351019
115,865.9841271274338
115,888.6206813328174
115,815.4537367390852
115,911.9123534946376
115,974.253569664858
115,3308.740736668828
115,846.4030523463435
115,837.914229997334
115,842.2543469401448
115,835.0006509310507
115,815.1639485080948
115,798.465560556864
115,798.7611014189723
115,789.3780104888782
115,800.9007173550674
115,845.02659918195
115,811.6867116484772
115,3245.3946778558125
115,3295.178246029592
115,1045.1217258966644
115,1068.9604472336578
115,806.0158931113942
115,789.7913593592003
115,869.5893017351019
115,865.9841271274338
115,888.6206813328174
115,916.2943633808796
115,989.6305507906208
115,856.7380229082471
115,870.0157785886419
115,794.2009419692956
115,780.7215008967438
115,767.3285642264107
115,771.5312819103066
115,778.7004869989702
115,917.7198017110679
115,910.1819821218128
115,946.3613891465956
115,796.8933604225414
115,841.078451509536
115,863.3529672169875
115,860.0737666991088
115,883.4584732413547
115,911.9123534946376
115,1037.340829391709
115,1062.1006699366962
115,1168.3874823033082
115,1161.1101868098287
115,1172.0651812688118
115,1189.3509921182276
115,1236.2025831733506
115,2189.132469088624
115,1133.1089977892034
115,841.1711367963852
115,837.1956291777625
115,825.6438542179262
115,849.4238645275534
115,934.8315163153486
115,911.4276121852499
115,784.8543826490094
115,772.2384014338048
115,759.0947210865285
115,764.0327034833224
115,772.0081106577394
115,990.2728338240764
115,1011.8389642677946
115,867.5874576121588
115,808.6710307435782
115,817.6969361672618
115,810.2715294108667
115,883.4584732413547
115,911.9123534946376
115,919.1819543474996
115,806.0158931113942
115,789.7913593592003
115,791.0924459323628
115,782.0045957228606
115,794.2979832974353
115,811.6867116484772
115,1001.1259438537033
115,993.1047689832808
115,1026.79386844745
115,880.8826808402937
115,806.0158931113942
115,789.7913593592003
115,869.5893017351019
115,865.9841271274338
115,888.6206813328174
115,916.2943633808796
115,926.9836509232567
115,849.4238645275534
115,794.2009419692956
115,780.7215008967438
115,767.3285642264107
115,771.5312819103066
115,778.7004869989702
115,974.4873500796613
115,997.9844896400508
115,872.2116591767139
115,796.8933604225414
115,841.078451509536
115,863.3529672169875
115,860.0737666991088
115,883.4584732413547
115,911.9123534946376
115,872.8860043440721
115,796.8933604225414
115,781.1540066965292
115,783.4815057287393
115,774.6952839384613
115,787.7719621930023
115,806.0070207242438
115,889.5861213741534
115,889.4552377459479
115,879.4348773125412
115,889.2063804376253
115,902.7686709494117
115,796.8933604225414
115,841.078451509536
115,863.3529672169875
115,860.0737666991088
115,883.4584732413547
115,911.9123534946376
115,845.3881116965213
115,849.8317402235585
115,825.6438542179262
115,849.4238645275534
115,806.4093920099971
115,792.3045000414592
115,829.449701123236
115,786.7107255681614
115,816.4992333650679
115,883.9936432986757
115,861.9015535281917
115,865.0431488795626
115,870.0157785886419
115,832.4293432539336
115,829.0476672468387
115,817.7511054581363
115,842.6949739064719
115,948.2757142519664
115,951.1382352593305
115,954.9566721419417
115,832.4293432539336
115,829.0476672468387
115,817.7511054581363
115,842.6949739064719
115,892.5620910833804
115,887.0358053326503
115,882.3395062906958
115,821.1505848792409
115,861.4881394820644
115,960.2711044801863
115,892.5620910833804
115,878.5782380055507
115,880.4643751462437
115,906.790965510224
115,815.1639485080948
115,798.465560556864
115,798.7611014189723
115,871.9737287589935
115,893.8694577953702
